material_diff,mobility_diff,shooting_diff,pieces_in_danger_diff,safe_pieces_diff,avg_distance_to_enemy_diff,clustering_diff,board_centrality_diff,winner
1,3,0,0,1,0.5,1.0,-0.5,1
1,1,0,0,1,0.0,0.0,0.0,1
1,1,0,0,1,1.0,2.0,0.0,1
1,5,0,0,1,0.0,2.0,-2.0,1
1,0,0,0,1,0.5,3.0,2.5,1
1,2,0,0,1,1.0,6.0,2.0,1
1,5,1,-1,2,3.5,9.0,-0.5,1
0,-1,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,0.0,2.0,0.0,1
0,0,0,0,0,1.0,4.0,2.0,1
0,0,0,0,0,0.0,0.0,4.0,1
0,1,0,0,0,0.0,0.0,3.0,1
0,1,-1,1,-1,0.0,2.0,1.0,1
1,5,0,0,1,0.0,2.0,1.0,1
0,1,0,0,0,0.0,0.0,0.0,1
0,1,0,0,0,0.0,1.0,-0.5,1
0,1,0,0,0,0.0,6.0,-1.0,1
0,-2,0,0,0,0.5,5.0,-1.5,1
0,-3,0,0,0,3.0,10.0,-3.0,1
0,-2,-1,1,-1,0.5,7.0,-2.5,1
0,2,0,0,0,0.0,4.0,-2.0,1
0,0,0,0,0,1.0,2.0,2.0,1
0,-2,0,0,0,0.5,3.0,1.5,1
0,-2,0,0,0,1.5,1.0,-0.5,1
0,-2,0,0,0,0.0,0.0,-2.0,1
0,-2,0,0,0,0.0,2.0,-3.0,1
0,1,0,0,0,-1.5,1.0,-4.5,1
0,1,0,0,0,-3.0,-6.0,-3.0,1
1,-1,0,0,1,1.0,2.0,-1.0,1
1,2,0,0,1,0.0,4.0,1.0,1
0,0,0,0,0,0.0,2.0,0.0,2
0,0,0,0,0,1.5,4.0,1.0,2
0,0,0,0,0,0.5,1.0,0.5,2
0,0,0,0,0,0.0,0.0,1.0,2
0,0,0,0,0,0.0,1.0,1.5,2
0,-3,-1,1,-1,0.5,2.0,1.0,2
0,0,0,0,0,0.0,1.0,1.5,2
0,4,0,0,0,0.5,5.0,-1.5,2
0,3,0,0,0,0.0,3.0,-2.5,2
0,0,0,0,0,-0.5,1.0,-0.5,2
0,-1,0,0,0,0.0,3.0,-1.5,2
0,-3,0,0,0,0.0,3.0,-0.5,2
0,0,0,0,0,-1.5,-1.0,2.5,2
0,2,0,0,0,-2.0,-2.0,0.0,2
0,0,0,0,0,0.0,1.0,0.5,2
0,0,0,0,0,0.5,2.0,1.0,2
0,0,0,0,0,1.0,2.0,1.0,2
0,0,0,0,0,0.5,1.0,-0.5,2
0,0,0,0,0,0.0,1.0,1.5,2
0,1,-1,1,-1,0.5,3.0,1.5,2
-1,-6,0,0,-1,0.0,-6.0,3.0,2
-1,-5,0,0,-1,-1.5,-3.0,4.5,2
-1,-2,0,0,-1,0.0,-2.0,3.0,2
-1,-3,0,0,-1,-0.5,-1.0,1.5,2
-1,1,0,0,-1,-0.5,-1.0,2.5,2
-1,1,0,0,-1,-0.5,-3.0,-0.5,2
0,-1,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,0.0,3.0,0.5,1
0,0,0,0,0,1.0,4.0,2.0,1
0,0,0,0,0,-0.5,-3.0,2.5,1
0,0,0,0,0,0.0,-1.0,2.5,1
0,3,0,0,0,1.5,-1.0,0.5,1
0,2,0,0,0,-1.0,-4.0,0.0,1
0,1,0,0,0,-0.5,1.0,-0.5,1
0,-1,0,0,0,0.0,1.0,-2.5,1
0,0,0,0,0,-0.5,-1.0,-2.5,1
0,2,0,0,0,0.0,2.0,-2.0,1
0,2,0,0,0,0.0,0.0,0.0,1
0,2,0,0,0,0.0,-1.0,2.5,1
0,3,0,0,0,-0.5,3.0,-0.5,1
0,2,0,0,0,0.0,0.0,-1.0,1
0,0,0,0,0,-0.5,-1.0,-2.5,1
0,-1,0,0,0,-1.0,-1.0,-0.5,1
0,-2,0,0,0,0.5,2.0,1.0,1
0,2,0,0,0,2.0,4.0,1.0,1
0,2,0,0,0,0.0,6.0,1.0,1
0,5,0,0,0,0.0,7.0,-1.5,1
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,1.5,3.0,1.5,2
0,0,0,0,0,1.0,2.0,1.0,2
0,0,0,0,0,0.0,-2.0,1.0,2
0,0,0,0,0,0.0,2.0,0.0,2
0,0,0,0,0,-0.5,-1.0,-1.5,2
0,0,0,0,0,0.0,2.0,0.0,2
0,0,0,0,0,-2.0,0.0,1.0,2
0,-1,0,0,0,-0.5,-1.0,-0.5,2
0,0,0,0,0,1.0,2.0,0.0,2
0,2,0,0,0,0.5,1.0,-1.5,2
0,2,0,0,0,0.5,5.0,-2.5,2
0,-1,0,0,0,0.0,0.0,-3.0,2
0,0,0,0,0,0.0,0.0,-3.0,2
0,-2,0,0,0,0.0,0.0,1.0,2
0,0,0,0,0,0.0,2.0,0.0,2
0,0,0,0,0,0.5,1.0,-0.5,2
0,0,0,0,0,-0.5,1.0,-0.5,2
0,1,0,0,0,-1.5,-3.0,1.5,2
0,2,0,0,0,-0.5,-1.0,3.5,2
0,2,0,0,0,0.0,0.0,3.0,2
0,0,0,0,0,-0.5,-1.0,0.5,2
0,-2,0,0,0,-0.5,1.0,1.5,2
0,-2,0,0,0,0.5,5.0,1.5,2
0,-2,0,0,0,1.5,6.0,-1.0,2
0,1,-1,1,-1,1.5,7.0,-2.5,2
0,-2,0,0,0,0.0,0.0,0.0,2
-1,-5,0,0,-1,-1.5,-3.0,-1.5,2
-1,-5,0,0,-1,0.0,-6.0,1.0,2
-1,-5,0,0,-1,-0.5,-5.0,-0.5,2
-1,-3,0,0,-1,-1.5,-3.0,2.5,2
-1,-5,0,0,-1,0.0,-4.0,1.0,2
-1,-5,0,0,-1,-0.5,-1.0,-0.5,2
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,0.0,3.0,1.5,2
0,0,0,0,0,0.0,2.0,2.0,2
0,0,0,0,0,-0.5,-1.0,3.5,2
0,0,0,0,0,1.0,2.0,1.0,2
0,0,0,0,0,0.5,1.0,3.5,2
0,0,0,0,0,0.0,0.0,1.0,2
0,-4,0,0,0,2.0,4.0,-2.0,2
0,0,0,0,0,0.5,1.0,-2.5,2
0,0,0,0,0,0.0,0.0,-1.0,2
0,0,0,0,0,1.0,2.0,-1.0,2
0,0,0,0,0,0.0,0.0,1.0,2
0,0,0,0,0,0.5,1.0,-1.5,2
0,0,0,0,0,1.5,2.0,-3.0,2
0,-2,0,0,0,2.5,7.0,-3.5,2
0,-3,0,0,0,0.5,1.0,-1.5,2
0,-1,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,0.0,2.0,0.0,1
0,0,0,0,0,0.5,5.0,1.5,1
0,0,0,0,0,0.5,3.0,-0.5,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,2.0,2.0,1
0,0,0,0,0,1.0,0.0,1.0,1
0,1,0,0,0,-1.5,1.0,-0.5,1
0,-1,0,0,0,-2.5,1.0,-0.5,1
0,1,0,0,0,-1.0,0.0,-1.0,1
0,1,0,0,0,-2.0,-4.0,-2.0,1
0,-4,0,0,0,-1.0,-1.0,-2.5,1
0,-1,0,0,0,0.0,3.0,-1.5,1
0,-2,0,0,0,0.0,-4.0,1.0,1
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,1.0,2.0,1.0,2
0,0,0,0,0,1.0,2.0,1.0,2
0,0,0,0,0,0.0,0.0,3.0,2
0,0,0,0,0,-0.5,1.0,2.5,2
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,0.5,1.0,-1.5,2
0,0,0,0,0,0.0,0.0,-3.0,2
0,-2,0,0,0,0.5,0.0,-2.0,2
0,2,0,0,0,-1.0,4.0,-2.0,2
0,-2,0,0,0,-0.5,3.0,0.5,2
0,-4,0,0,0,1.5,5.0,-0.5,2
0,-4,0,0,0,-0.5,5.0,0.5,2
-1,-3,0,0,-1,-1.5,-3.0,1.5,2
0,-1,0,0,0,0.0,1.0,-0.5,2
0,0,0,0,0,1.0,3.0,0.5,2
0,0,0,0,0,1.0,2.0,-1.0,2
0,0,0,0,0,0.0,0.0,-1.0,2
0,2,0,0,0,0.5,1.0,-2.5,2
0,0,0,0,0,0.0,2.0,-1.0,2
0,2,0,0,0,-0.5,3.0,0.5,2
0,0,0,0,0,0.0,2.0,2.0,2
0,0,0,0,0,0.0,-3.0,3.5,2
0,-4,0,0,0,0.5,1.0,1.5,2
0,-4,0,0,0,0.5,3.0,-1.5,2
0,0,0,0,0,0.0,4.0,-2.0,2
0,-1,0,0,0,1.5,5.0,-1.5,2
0,-2,0,0,0,0.0,5.0,-2.5,2
0,0,0,0,0,0.0,3.0,-0.5,2
-1,-1,0,0,-1,0.0,0.0,-2.0,2
-1,-1,0,0,-1,-1.0,-2.0,-2.0,2
-1,1,1,-1,0,-2.5,-5.0,0.5,2
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,0.5,2.0,1.0,2
0,0,0,0,0,0.5,3.0,2.5,2
0,0,0,0,0,0.5,1.0,0.5,2
0,0,0,0,0,1.0,2.0,1.0,2
0,2,0,0,0,0.0,2.0,0.0,2
0,0,0,0,0,0.0,1.0,0.5,2
0,0,0,0,0,0.0,-2.0,-1.0,2
0,1,0,0,0,0.0,-4.0,-1.0,2
0,-1,0,0,0,-0.5,-5.0,-0.5,2
0,1,0,0,0,-1.5,-5.0,-1.5,2
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,1.0,0.5,1
0,0,0,0,0,0.0,4.0,0.0,1
0,0,0,0,0,0.5,1.0,1.5,1
0,0,0,0,0,0.0,2.0,3.0,1
0,-1,0,0,0,0.0,-1.0,2.5,1
0,1,0,0,0,0.0,0.0,1.0,1
0,0,0,0,0,0.0,3.0,1.5,1
0,3,0,0,0,0.0,0.0,3.0,1
0,3,0,0,0,0.0,-2.0,2.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,3.0,1.5,1
0,0,0,0,0,0.5,3.0,2.5,1
0,0,0,0,0,-1.0,-2.0,3.0,1
0,0,0,0,0,0.5,-1.0,3.5,1
0,1,0,0,0,0.0,-1.0,3.5,1
0,2,0,0,0,0.0,-2.0,1.0,1
1,4,0,0,1,0.5,3.0,-0.5,1
1,5,0,0,1,1.0,2.0,2.0,1
1,3,0,0,1,1.5,3.0,2.5,1
1,5,0,0,1,0.0,6.0,1.0,1
1,3,0,0,1,0.5,3.0,2.5,1
0,-1,0,0,0,0.0,1.0,-0.5,2
0,0,0,0,0,0.5,1.0,-0.5,2
0,0,0,0,0,2.0,4.0,1.0,2
0,-1,-1,1,-1,1.0,2.0,1.0,2
0,0,0,0,0,0.0,2.0,0.0,2
0,0,0,0,0,0.0,3.0,-1.5,2
0,0,0,0,0,1.5,2.0,-1.0,2
0,1,-1,1,-1,0.0,1.0,-0.5,2
0,1,0,0,0,0.0,-2.0,0.0,2
0,-1,0,0,0,-1.0,-2.0,1.0,2
0,1,0,0,0,-1.5,-5.0,1.5,2
0,2,0,0,0,-0.5,-1.0,1.5,2
0,-2,0,0,0,-0.5,-1.0,1.5,2
0,-2,0,0,0,0.5,1.0,1.5,2
0,1,0,0,0,1.5,1.0,3.5,2
0,0,0,0,0,0.5,1.0,3.5,2
0,0,0,0,0,0.0,3.0,2.5,2
0,1,0,0,0,0.0,2.0,2.0,2
0,-1,0,0,0,1.5,1.0,1.5,2
0,0,0,0,0,-0.5,-1.0,1.5,2
0,0,0,0,0,1.5,-1.0,-0.5,2
0,0,0,0,0,0.5,-5.0,1.5,2
0,0,0,0,0,0.0,-1.0,-0.5,2
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,2.0,1.0,1
0,0,0,0,0,0.5,3.0,3.5,1
0,0,0,0,0,0.0,0.0,3.0,1
0,0,0,0,0,1.0,2.0,1.0,1
0,1,-1,1,-1,1.0,6.0,1.0,1
0,1,0,0,0,0.5,5.0,1.5,1
0,2,0,0,0,2.5,5.0,3.5,1
0,2,0,0,0,0.5,1.0,3.5,1
0,2,0,0,0,-1.5,-3.0,1.5,1
0,4,0,0,0,0.5,-1.0,1.5,1
0,4,0,0,0,-0.5,2.0,1.0,1
0,0,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,1.0,2.0,0.0,1
0,0,0,0,0,0.0,2.0,0.0,1
0,0,0,0,0,0.0,0.0,4.0,1
0,2,0,0,0,0.0,2.0,4.0,1
0,2,0,0,0,1.5,3.0,3.5,1
0,3,0,0,0,1.0,2.0,4.0,1
0,2,0,0,0,0.0,-2.0,2.0,1
0,2,0,0,0,1.0,-2.0,1.0,1
0,2,0,0,0,1.0,-1.0,0.5,1
0,0,0,0,0,-0.5,1.0,-0.5,1
0,-2,0,0,0,0.0,2.0,0.0,1
0,1,0,0,0,1.5,5.0,-1.5,1
1,1,0,0,1,2.5,7.0,-2.5,1
1,3,0,0,1,0.0,10.0,-2.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,1,0,0,0,0.5,1.0,0.5,1
0,0,0,0,0,1.0,2.0,1.0,1
0,0,0,0,0,0.0,0.0,2.0,1
0,0,0,0,0,-1.0,-2.0,3.0,1
0,0,0,0,0,0.5,-3.0,2.5,1
0,1,0,0,0,0.0,-2.0,2.0,1
0,1,0,0,0,1.0,-2.0,1.0,1
0,-1,0,0,0,2.0,2.0,-1.0,1
-1,-2,0,0,-1,-0.5,-1.0,-1.5,1
-1,-1,-1,1,-2,-2.0,-4.0,-2.0,1
-1,0,0,0,-1,-1.5,-3.0,-2.5,1
-1,-2,0,0,-1,-1.0,-4.0,1.0,1
-1,0,0,0,-1,-0.5,-1.0,1.5,1
0,1,0,0,0,0.0,0.0,2.0,1
0,0,0,0,0,0.0,0.0,2.0,1
0,1,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,1.0,2.0,0.0,1
0,0,0,0,0,1.5,3.0,0.5,1
0,0,0,0,0,-1.0,-2.0,-1.0,1
0,0,0,0,0,-0.5,-1.0,-1.5,1
0,-1,0,0,0,-0.5,-1.0,-1.5,1
0,0,0,0,0,-0.5,1.0,0.5,1
0,2,0,0,0,1.0,2.0,1.0,1
0,2,0,0,0,1.5,1.0,-0.5,1
0,4,0,0,0,0.0,-2.0,1.0,1
1,3,0,0,1,0.0,2.0,0.0,1
1,3,0,0,1,1.5,5.0,-0.5,1
0,0,0,0,0,0.0,1.0,0.5,1
0,0,0,0,0,0.5,2.0,1.0,1
0,0,0,0,0,0.0,-3.0,2.5,1
0,0,0,0,0,0.5,2.0,1.0,1
0,0,0,0,0,1.0,6.0,1.0,1
0,2,0,0,0,1.0,4.0,2.0,1
0,4,0,0,0,0.0,3.0,1.5,1
1,-1,-1,1,0,1.0,4.0,1.0,1
0,-1,-1,1,-1,0.0,0.0,2.0,1
0,2,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,0.0,2.0,1
0,-1,0,0,0,0.0,0.0,4.0,1
0,0,0,0,0,0.0,2.0,0.0,1
0,0,0,0,0,0.5,1.0,-1.5,1
0,0,0,0,0,0.0,0.0,-1.0,1
0,0,0,0,0,0.5,-1.0,0.5,1
0,0,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,0.0,2.0,0.0,1
0,-1,0,0,0,-0.5,3.0,-0.5,1
0,-2,0,0,0,-0.5,-1.0,0.5,1
0,-1,0,0,0,0.0,-6.0,3.0,1
0,-1,-1,1,-1,-1.0,-6.0,3.0,1
0,-1,0,0,0,0.5,-5.0,1.5,1
0,-3,0,0,0,1.0,-2.0,2.0,1
0,-2,0,0,0,0.0,1.0,1.5,1
0,-2,0,0,0,0.5,-2.0,2.0,1
0,2,0,0,0,1.0,6.0,0.0,1
0,1,0,0,0,0.0,6.0,3.0,1
0,0,0,0,0,1.5,5.0,2.5,1
0,2,0,0,0,2.0,5.0,-1.5,1
1,2,-1,1,0,2.0,6.0,-3.0,1
1,2,0,0,1,1.0,4.0,-1.0,1
1,1,0,0,1,1.5,3.0,1.5,1
0,0,0,0,0,0.0,1.0,0.5,2
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,0.0,4.0,2.0,2
0,0,0,0,0,0.5,3.0,0.5,2
0,0,0,0,0,0.0,-2.0,0.0,2
0,0,0,0,0,-1.0,0.0,-2.0,2
0,0,0,0,0,-1.5,-3.0,-1.5,2
0,2,0,0,0,0.0,3.0,-3.5,2
0,2,0,0,0,0.0,3.0,-3.5,2
0,-1,0,0,0,-0.5,3.0,-1.5,2
0,2,0,0,0,0.0,8.0,-3.0,2
0,1,0,0,0,0.5,7.0,-2.5,2
0,-3,0,0,0,0.5,3.0,-0.5,2
0,-2,0,0,0,0.0,-1.0,-0.5,2
-1,-2,0,0,-1,-1.0,-4.0,-1.0,2
0,0,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,1.0,2.0,0.0,1
0,0,0,0,0,0.5,3.0,0.5,1
0,0,0,0,0,0.0,-2.0,0.0,1
0,0,0,0,0,0.0,1.0,-0.5,1
0,0,0,0,0,0.0,3.0,0.5,1
0,-1,-1,1,-1,0.5,7.0,-0.5,1
0,0,0,0,0,0.5,7.0,1.5,1
0,1,0,0,0,0.5,3.0,2.5,1
0,-2,0,0,0,0.0,0.0,1.0,1
0,-1,0,0,0,0.0,4.0,3.0,1
0,0,0,0,0,0.5,4.0,-1.0,1
0,-1,0,0,0,0.0,-1.0,0.5,1
0,-1,0,0,0,-3.5,-7.0,-1.5,1
0,3,0,0,0,-4.0,-8.0,-2.0,1
0,1,0,0,0,-1.5,1.0,-2.5,1
0,3,0,0,0,1.5,6.0,-3.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,2.0,1.0,1
0,0,0,0,0,0.5,3.0,3.5,1
0,0,0,0,0,0.5,1.0,1.5,1
0,0,0,0,0,0.5,1.0,-1.5,1
0,0,0,0,0,0.0,0.0,1.0,1
0,0,0,0,0,0.5,1.0,-1.5,1
0,0,0,0,0,0.0,1.0,-1.5,1
0,-2,0,0,0,-0.5,1.0,-3.5,1
0,1,0,0,0,-1.0,0.0,-2.0,1
0,-2,0,0,0,0.0,-1.0,0.5,1
0,-1,-1,1,-1,0.0,0.0,0.0,1
-1,0,0,0,-1,-1.5,-9.0,4.5,1
-1,-2,0,0,-1,-1.5,-5.0,4.5,1
-1,2,0,0,-1,-1.5,-3.0,1.5,1
0,-1,0,0,0,0.0,1.0,-0.5,2
0,-1,0,0,0,0.5,1.0,0.5,2
0,-1,0,0,0,2.5,5.0,2.5,2
0,-1,0,0,0,0.5,1.0,-1.5,2
0,-1,0,0,0,1.0,3.0,-3.5,2
0,-1,0,0,0,0.5,7.0,-2.5,2
0,-1,0,0,0,0.0,6.0,-2.0,2
0,-2,0,0,0,0.0,5.0,-1.5,2
0,-1,0,0,0,0.0,2.0,-1.0,2
-1,-2,0,0,-1,-1.0,-8.0,2.0,2
-1,-5,-1,1,-2,-1.5,-7.0,-0.5,2
-1,-2,0,0,-1,-1.5,-3.0,-3.5,2
0,0,0,0,0,0.0,0.0,0.0,2
0,0,0,0,0,0.5,1.0,0.5,2
0,0,0,0,0,0.5,1.0,2.5,2
0,0,0,0,0,1.5,3.0,1.5,2
0,2,0,0,0,-0.5,-1.0,0.5,2
0,2,0,0,0,0.0,-2.0,1.0,2
0,1,0,0,0,0.0,-1.0,1.5,2
0,-2,0,0,0,0.0,0.0,0.0,2
0,-1,-1,1,-1,0.0,2.0,0.0,2
-1,-2,0,0,-1,-1.5,-3.0,-2.5,2
0,0,0,0,0,0.0,0.0,-1.0,1
0,1,0,0,0,0.0,2.0,-1.0,1
0,0,0,0,0,0.0,-1.0,0.5,1
0,0,0,0,0,-1.5,-5.0,0.5,1
0,1,0,0,0,-2.0,-4.0,-1.0,1
0,2,0,0,0,-1.5,-1.0,-1.5,1
0,0,0,0,0,-0.5,-1.0,0.5,1
0,-2,0,0,0,0.5,-1.0,2.5,1
0,-2,0,0,0,-0.5,-3.0,0.5,1
0,-2,0,0,0,0.0,1.0,1.5,1
0,-1,0,0,0,1.5,3.0,2.5,1
0,0,0,0,0,0.0,2.0,1.0,1
0,-1,0,0,0,0.5,-1.0,2.5,1
0,-1,0,0,0,0.5,1.0,3.5,1
0,1,0,0,0,0.5,1.0,2.5,1
0,-1,0,0,0,0.0,2.0,1.0,1
0,-1,0,0,0,0.5,2.0,1.0,1
0,0,0,0,0,-0.5,-3.0,3.5,1
0,0,0,0,0,0.5,-3.0,1.5,1
0,0,0,0,0,0.0,-4.0,2.0,1
0,1,0,0,0,0.0,-6.0,3.0,1
0,1,0,0,0,0.0,-2.0,2.0,1
0,-1,0,0,0,0.0,1.0,-0.5,2
0,0,0,0,0,0.5,1.0,-0.5,2
0,0,0,0,0,2.0,4.0,1.0,2
0,0,0,0,0,1.5,3.0,1.5,2
0,0,0,0,0,-1.0,-2.0,3.0,2
0,-1,0,0,0,-0.5,-1.0,0.5,2
0,0,0,0,0,-0.5,-1.0,-1.5,2
0,2,0,0,0,0.5,-1.0,-1.5,2
0,0,-1,1,-1,-0.5,1.0,-3.5,2
0,2,0,0,0,-0.5,3.0,-2.5,2
0,2,0,0,0,0.0,4.0,-4.0,2
0,-2,0,0,0,-0.5,0.0,-3.0,2
0,-2,0,0,0,-2.0,0.0,-2.0,2
0,-2,-1,1,-1,-1.5,-3.0,-0.5,2
0,-2,0,0,0,-2.0,0.0,1.0,2
0,1,0,0,0,0.0,7.0,-2.5,2
0,0,0,0,0,0.0,1.0,0.5,1
0,0,0,0,0,0.5,2.0,1.0,1
0,0,0,0,0,0.0,0.0,1.0,1
0,0,0,0,0,0.5,1.0,0.5,1
1,2,0,0,1,0.0,10.0,-4.0,1
1,2,0,0,1,2.0,8.0,-2.0,1
1,2,0,0,1,1.5,7.0,1.5,1
1,5,0,0,1,2.0,8.0,0.0,1
1,3,0,0,1,1.5,9.0,-1.5,1
1,4,-1,1,0,0.5,7.0,-3.5,1
1,1,0,0,1,1.0,4.0,-1.0,1
1,1,0,0,1,0.0,2.0,0.0,1
1,3,0,0,1,0.5,1.0,-1.5,1
1,4,1,-1,2,2.5,5.0,-1.5,1
1,5,0,0,1,1.0,6.0,2.0,1
0,0,0,0,0,0.0,2.0,0.0,1
0,0,0,0,0,1.5,3.0,0.5,1
0,0,0,0,0,0.0,0.0,-1.0,1
0,0,0,0,0,-1.0,-2.0,-1.0,1
0,0,0,0,0,0.5,2.0,0.0,1
0,0,0,0,0,0.0,3.0,1.5,1
0,0,0,0,0,0.0,4.0,0.0,1
0,0,0,0,0,-1.0,2.0,2.0,1
0,1,0,0,0,0.0,5.0,0.5,1
0,2,-1,1,-1,0.0,6.0,-1.0,1
1,-1,0,0,1,1.0,6.0,3.0,1
0,0,0,0,0,0.0,4.0,0.0,1
0,1,0,0,0,0.0,2.0,0.0,1
0,1,0,0,0,0.0,3.0,-0.5,1
0,1,0,0,0,0.0,-1.0,-1.5,1
0,1,0,0,0,-0.5,-8.0,1.0,1
0,1,0,0,0,-0.5,-5.0,1.5,1
0,2,0,0,0,0.5,-3.0,0.5,1
-1,1,0,0,-1,-1.0,-2.0,3.0,1
-1,-3,0,0,-1,0.0,-2.0,4.0,1
-1,-1,0,0,-1,-2.0,-4.0,1.0,1
-1,0,0,0,-1,0.0,-4.0,6.0,1
0,-1,0,0,0,0.0,2.0,0.0,1
0,-1,0,0,0,1.0,3.0,0.5,1
0,0,0,0,0,1.0,2.0,2.0,1
0,0,0,0,0,0.0,0.0,1.0,1
0,0,0,0,0,-0.5,1.0,1.5,1
0,1,0,0,0,-0.5,-1.0,1.5,1
0,3,0,0,0,-1.5,-3.0,3.5,1
0,2,0,0,0,0.0,-1.0,3.5,1
0,4,0,0,0,0.0,-1.0,2.5,1
0,3,0,0,0,-1.0,-5.0,2.5,1
1,4,0,0,1,0.0,2.0,-1.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,2.0,1.0,1
0,0,0,0,0,1.0,3.0,1.5,1
0,0,0,0,0,0.0,0.0,1.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,2,0,0,0,0.0,0.0,-2.0,1
0,2,0,0,0,0.0,0.0,2.0,1
0,-2,0,0,0,0.0,0.0,4.0,1
0,-1,0,0,0,0.0,3.0,0.5,1
0,0,0,0,0,0.5,3.0,1.5,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,1.0,0.5,1
0,0,0,0,0,0.5,2.0,1.0,1
0,0,0,0,0,1.0,2.0,1.0,1
0,0,0,0,0,0.0,0.0,2.0,1
0,0,0,0,0,2.0,0.0,0.0,1
0,0,0,0,0,-0.5,-1.0,-2.5,1
0,-1,0,0,0,-0.5,-1.0,-1.5,1
0,1,0,0,0,0.0,4.0,-3.0,1
0,-3,0,0,0,1.5,9.0,-3.5,1
0,2,0,0,0,1.0,8.0,-4.0,1
0,4,0,0,0,0.0,2.0,0.0,1
0,4,0,0,0,-0.5,1.0,0.5,1
1,4,0,0,1,0.5,7.0,-0.5,1
0,0,0,0,0,0.0,0.0,-1.0,2
0,1,0,0,0,1.0,2.0,0.0,2
0,0,0,0,0,1.0,2.0,-1.0,2
0,0,0,0,0,0.0,0.0,-1.0,2
0,0,0,0,0,0.0,0.0,2.0,2
0,0,0,0,0,0.0,4.0,0.0,2
0,0,0,0,0,-0.5,3.0,0.5,2
-1,-1,0,0,-1,-2.0,-4.0,2.0,2
-1,-3,0,0,-1,-1.0,-2.0,3.0,2
-1,-1,0,0,-1,-0.5,-1.0,0.5,2
-1,-3,0,0,-1,-0.5,-3.0,1.5,2
-1,-3,0,0,-1,-0.5,-1.0,1.5,2
-1,-2,0,0,-1,-0.5,-1.0,-0.5,2
0,-1,0,0,0,0.0,1.0,0.5,2
0,-1,0,0,0,1.0,2.0,1.0,2
0,0,0,0,0,0.0,2.0,2.0,2
0,0,0,0,0,0.0,-1.0,0.5,2
0,0,0,0,0,0.0,-2.0,0.0,2
0,0,0,0,0,-1.5,-3.0,0.5,2
0,0,0,0,0,1.5,3.0,0.5,2
0,1,0,0,0,0.5,3.0,1.5,2
0,-1,0,0,0,0.0,6.0,-1.0,2
0,-1,0,0,0,0.0,0.0,-3.0,2
0,-5,0,0,0,-0.5,-1.0,-2.5,2
0,1,0,0,0,-1.5,-3.0,-2.5,2
0,1,0,0,0,0.0,0.0,-1.0,1
0,0,0,0,0,0.0,4.0,-1.0,1
0,0,0,0,0,0.0,0.0,-1.0,1
0,0,0,0,0,-0.5,1.0,-1.5,1
0,0,0,0,0,-0.5,3.0,0.5,1
0,0,0,0,0,0.0,0.0,3.0,1
0,0,0,0,0,0.0,-1.0,0.5,1
0,0,0,0,0,0.0,0.0,0.0,1
0,0,0,0,0,0.0,1.0,0.5,1
0,0,0,0,0,1.0,3.0,1.5,1
0,0,0,0,0,0.0,2.0,2.0,1
0,0,0,0,0,-0.5,-1.0,3.5,1
0,0,0,0,0,0.0,-2.0,1.0,1
0,0,0,0,0,0.5,1.0,0.5,1
0,0,0,0,0,1.0,3.0,-0.5,1
0,0,0,0,0,2.0,4.0,2.0,1
0,-1,0,0,0,0.0,1.0,1.5,1
0,2,0,0,0,1.0,2.0,0.0,1
0,0,0,0,0,1.0,3.0,-0.5,1
1,2,0,0,1,1.5,13.0,-5.5,1
1,2,0,0,1,0.5,11.0,-1.5,1
1,3,0,0,1,1.0,8.0,-1.0,1
1,4,0,0,1,0.5,7.0,-4.5,1
1,2,0,0,1,2.0,4.0,0.0,1
1,5,0,0,1,0.5,1.0,-3.5,1
1,2,0,0,1,1.0,2.0,0.0,1
1,-1,0,0,1,0.0,2.0,3.0,1
